EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents
ep-101145,CCC(C)(C)C(C)OC,0.861103011343817,8.195523428,-7.642316073,2.7026
ep-101151,CCOC(C)C(C)(C)C,0.8898930615883130,8.288586348,-7.562314616,3.765
ep-101232,CC(C)OCC(C)(C)C,0.9692581464074070,8.426548045,-7.655105422,2.4192
ep-101237,CCCOCC(C)(C)C,0.9877737483340800,8.5558021,-7.677690867,2.6353
ep-101261,CCC(C)C(C)(C)OC,0.8494919498796410,7.90272898,-7.52394657,3.0974
ep-101263,COC(C)C(C)C(C)C,0.9674250337836460,8.15769961,-7.634152659,2.6734
ep-101268,CCOC(C)C(C)CC,0.9338382003892870,8.365594553,-7.618642172,3.0692
ep-101274,CCCC(C)C(C)OC,0.969092202632386,8.248857733,-7.670888022,2.217
ep-101420,CCOC(C)(C)C(C)C,0.9128522036910540,8.187904242,-7.553606974,2.4603
ep-101422,CC(C)OC(C)C(C)C,0.8604639383953420,8.369404147,-7.543810877,2.8727
ep-101426,CCCOC(C)C(C)C,0.9171120855288050,8.345458132,-7.568845347,3.5306
ep-101473,COC(C)OCC(C)C,0.9788594457818710,8.203958956,-7.947083529,7.6487
ep-115822,CCCOC(C)(C)CC,0.8800819565270470,8.06599726,-7.525579253,5.9046
ep-115858,COC(C)(C)CC(C)C,0.8368604156397190,7.934022067,-7.555239657,3.983
ep-115863,CCCCC(C)(C)OC,0.9136657994495020,7.949532553,-7.573743395,3.9368
ep-11589,CCOC(C)(C)CC,0.9028230081527260,8.119875792,-7.551974291,3.1324
ep-11595,CCCOC(C)(C)C,0.8888860602359550,8.094841322,-7.559865592,3.56
ep-11645,COC(C)(C)C(C)C,0.9591562915934950,8.007764906,-7.585988516,2.4226
ep-11649,COC(C)(C)C(C)=O,0.990083133790898,0.710217018,-7.431427878,4.6451
ep-11650,CCC(C)(CC)OC,0.927784118342597,7.957968081,-7.581634696,2.6772
ep-11702,CCOC(C)(C)OC,1.1352768447261100,8.041779131,-7.919872149,1.2549
ep-11978,CCOC(C)C(C)C,0.8799088046067730,8.308722769,-7.560137705,4.3522
ep-11989,CCCOC(C)CC,0.9182047562790220,8.406683737,-7.604764369,6.874
ep-11995,CCCC(C)OCC,0.9195537209060290,8.28015082,-7.56694055,4.2609
ep-12060,CC(C)COC(C)C,0.9653632816907750,8.438793166,-7.648030463,2.3284
ep-121,COC(C)C,0.9642383069915720,8.225183833,-7.700004199,4.5085
ep-12118,COC(=O)OC(C)C,1.0869419322544100,0.078368774,-7.367753249,1.3667
